Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 1000.00 1400.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
2 1000.00 1397.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
3 1000.00 1394.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
4 1000.00 1391.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
5 1000.00 1388.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
6 1000.00 1385.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
7 1000.00 1382.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
8 1000.00 1379.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
9 1000.00 1376.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
10 1000.00 1373.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
11 1000.00 1370.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
12 1000.00 1367.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
13 1000.00 1364.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
14 1000.00 1361.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
15 1000.00 1358.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
16 1000.00 1355.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
17 1000.00 1352.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
18 1000.00 1349.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
19 1000.00 1346.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
20 1000.00 1343.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
21 1000.00 1340.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
22 1000.00 1337.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
23 1000.00 1334.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
24 1000.00 1331.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
25 1000.00 1328.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
26 1000.00 1325.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
27 1000.00 1322.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
28 1000.00 1319.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
29 1000.00 1316.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
30 1000.00 1313.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
31 1000.00 1310.00 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
